CATEGORY,ID,TITLE,DESCRIPTION,IMAGE,URL,THUMBS_COUNTER,USER_ID_CREATOR,USER_NAME_CREATOR
1,000100000001,Wall push-ups,"Stand facing a wall, hands at shoulder height. Do 12 slow push-ups, focusing on control and breathing.",FITNESS-1.png,https://en.wikipedia.org/wiki/Push-up,0,1,admin
1,000100000002,Bodyweight squats,"Feet shoulder-width apart. Do 12 slow squats, keeping heels down and chest open.",FITNESS-2.png,https://en.wikipedia.org/wiki/Squat_(exercise),0,1,admin
1,000100000003,Plank reset,Hold a forearm plank for 30?45 seconds. Keep a straight line from head to heels. Breathe steadily.,FITNESS-3.png,https://en.wikipedia.org/wiki/Plank_(exercise),0,1,admin
1,000100000004,Glute bridges,"Lie on your back, knees bent. Lift hips and squeeze glutes for 12 reps. Slow tempo.",FITNESS-4.png,https://en.wikipedia.org/wiki/Glute_bridge,0,1,admin
1,000100000005,Calf raises,Hold onto a chair for balance. Rise onto toes and lower slowly for 20 reps.,FITNESS-5.png,https://en.wikipedia.org/wiki/Calf_raise,0,1,admin
1,000100000006,Standing lunges,Do 8 lunges per side. Keep front knee tracking over toes and torso upright.,FITNESS-6.png,https://en.wikipedia.org/wiki/Lunge_(exercise),0,1,admin
1,000100000007,Jumping jacks (low impact),Do 45 seconds of step-jacks (one leg out at a time). Keep it comfortable.,FITNESS-7.png,https://en.wikipedia.org/wiki/Jumping_jack,0,1,admin
1,000100000008,Shoulder mobility circles,"Make 10 large arm circles forward, then 10 backward. Keep ribs down and neck relaxed.",FITNESS-8.png,https://en.wikipedia.org/wiki/Shoulder,0,1,admin
1,000100000009,Chair triceps dips (gentle),"Hands on chair edge, bend elbows slightly and press back up for 10 reps. Keep it shallow.",FITNESS-9.png,https://en.wikipedia.org/wiki/Triceps_dip,0,1,admin
1,000100000010,Stair climb (moderate),Climb one flight of stairs up and down twice at a moderate pace. Hydrate after.,FITNESS-10.png,https://en.wikipedia.org/wiki/Stair_climbing,0,1,admin
2,000200000001,One-song break,Play one song you enjoy and listen without multitasking until it ends.,LEISURE-1.png,https://en.wikipedia.org/wiki/Active_listening,0,1,admin
2,000200000002,Quick tidy (2 minutes),"Pick one small area (desk corner, shelf). Put away or throw out 5 items.",LEISURE-2.png,https://en.wikipedia.org/wiki/Decluttering,0,1,admin
2,000200000003,Mini puzzle,"Do a 2-minute word puzzle (anagram, mini crossword) just for fun.",LEISURE-3.png,https://en.wikipedia.org/wiki/Word_game,0,1,admin
2,000200000004,Window watch,"Look outside for 2 minutes. Notice movement, light, and weather without judging it.",LEISURE-4.png,https://en.wikipedia.org/wiki/Attention,0,1,admin
2,000200000005,Tea or water ritual,"Prepare a glass of water or tea slowly. Focus on temperature, smell, and taste.",LEISURE-5.png,https://en.wikipedia.org/wiki/Mindful_eating,0,1,admin
2,000200000006,Fun fact dive,Read one short article on a topic you?re curious about. Stop after 5 minutes.,LEISURE-6.png,https://en.wikipedia.org/wiki/Curiosity,0,1,admin
